호로록~ 내 배고픔을 부탁해!,먹거리에 쓸 선거비용은?,※주의: 선거운동원도 먹여야함!,,5300000,530만원,3000000,300만원,1500000,150만원,740000,74만원,370000,37만원,김진표,
픽미픽미 픽미업!,로고송에 쓸 선거비용은?,,,8500000,850만원,7400000,740만원,6900000,690만원,5900000,590만원,3900000,390만원,|이석현, 조배숙, 박준영, 장석춘, 유재중|,
"텔레비전에 내가 나왔으면~",언론 광고에 쓸 선거 비용은?,,|※광고는 TV연설, 라디오, 신문, 인터넷 배너!|,30000000,3000만원,19000000,1900만원,6700000,670만원,3500000,350만원,2500000,250만원,,
"메시지가 도착했습니다",문자에 쓸 선거비용은?,|※문자에는 카카오톡, 전자우편도 포함|,,44000000,4400만원,22000000,2200만원,18000000,1800만원,13000000,1300만원,6000000,600만원,,
유세차 뽑았다 널 데리러 가!,유세차량에 쓸 선거비용은?,|※차량에 씌우는 래핑, 차량에 실리는 장비,|,|대여비, 발전기 비용 포함|,44000000,4400만원,35000000,3500만원,26000000,2600만원,19000000,1900만원,18000000,1800만원,|홍익표, 이석현, 권칠승, 안상수|,|조배숙, 이개호, 여상규|
붐바스틱 에오~♬,선거운동원에 쓸 선거비용은?,,,97000000,9700만원,90000000,9000만원,68000000,6800만원,41000000,4100만원,25000000,2500만원,,
알려라! 당신의 이름!,홍보물에 쓸 선거비용은?,|※명함, 현수막, 영상, 홍보소품, 인쇄물 등|,,74000000,7400만원,67000000,6700만원,60000000,6000만원,50000000,5000만원,32000000,3200만원,|홍익표, 권칠승, 안상수, 송영길, 조배숙, 박준영, 이개호|,|김석기, 장석춘, 여상규, 엄용수, 유재중|

